Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
16,1.0,0.0,0.0,1902.0,4.0,492.0,6841.0,0.0,402.3,0.0,0.0,980.3888328075409,,,,,,,,,,,,,,,,,,,,,169.04769112252416,92.25603056311856,319.4479839516696,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.0,0.0,0.0,2395.0,5.0,493.0,7334.0,0.0,413.7000000000001,0.0,0.0,1014.0630285739899,,,,,,,,,,,,,,,,,,,,,172.20095081874464,97.56993568277021,329.13406531167016,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,0.0,0.0,2826.0,6.0,431.0,7765.0,0.0,326.9999999999999,0.0,0.0,1043.816370010376,,,,,,,,,,,,,,,,,,,,,151.43370936185974,81.5842540892275,261.99406533036864,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,0.0,3312.0,7.0,486.0,8251.0,0.0,380.0999999999999,0.0,0.0,1077.2532541751862,,,,,,,,,,,,,,,,,,,,,161.39331342295222,87.02704982132954,301.9648144909363,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,0.0,3792.0,8.0,480.0,8731.0,0.0,379.4,0.0,0.0,1110.128339290619,,,,,,,,,,,,,,,,,,,,,170.46810217084936,86.04820282493374,297.8731841421342,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,4287.0,9.0,495.0,9226.0,0.0,409.5,0.0,0.0,1144.3026049137115,,,,,,,,,,,,,,,,,,,,,171.3593668207578,93.57071484981478,325.0021155392641,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2.0,0.0,0.0,0.0,0.0,455.0,9681.0,0.0,329.1999999999997,0.0,0.0,1763.0100526809692,,,,,,,,,9.930174,0.84968287,12.013022,9.002481,,,,,141.34612,80.6683,430.68143,24.647589,140.57324855381256,74.94610916566408,265.5046765846002,0.1,0.5527193,0.0,0.5527193,0.5527193,2.996806139857023e-17,0.9999999999999999,2.940190381005693,-7.063844607156556,191.55923,16.90252,222.49765,53.23471,9.988241,0.81755483,11.983432,9.084166,-0.05175116,0.034009308,0.036748223,-0.07615796,195.140919943868,33.262204046969075,227.13156181852858,0.09999999999999432,0.25603893,0.0,0.25603893,0.25603893,1.2627943,1.9344594,97.71915,3.741815e-07,1.017459,0.14615239,1.2,0.8
23,2.0,0.0,0.0,479.0,1.0,479.0,10160.0,0.0,402.0,0.0,0.0,1819.506771326065,,,,,,,,,,,,,,,,,,,,,174.03346325257925,91.36193556258897,318.95692803004437,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.0,0.0,0.0,974.0,2.0,495.0,10655.0,0.0,410.5,0.0,0.0,1853.4929938316345,,,,,,,,,,,,,,,,,,,,,175.51817283081266,92.69462329639741,323.942446895643,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.0,0.0,0.0,1444.0,3.0,470.0,11125.0,0.0,405.9,0.0,0.0,1885.7603085041046,,,,,,,,,,,,,,,,,,,,,174.34586859641857,89.92495642782178,324.2817234831661,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
