Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
67,5.0,0.0,0.0,4473.0,9.0,504.0,28296.0,0.0,337.02499999999986,0.0,0.0,4623.897336006165,,,,,,,,,,,,,,,,,,,,,137.1571666020633,86.76929477552366,268.16595398654647,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6.0,0.0,0.0,0.0,0.0,467.0,28763.0,0.0,347.29999999999984,0.0,0.0,5195.956360816956,,,,,,,,,11.67126,1.3409643,14.817737,10.281146,,,,,164.23187,89.141174,474.01517,25.620691,153.78709379756418,78.64516980000712,275.75718438091843,1.0,0.40397006,0.0,0.40397006,0.40397006,-2.301352990316114e-17,0.9999999999999999,7.540046551561917,-7.594130374530891,224.1223,33.40591,262.18655,11.153091,11.723066,1.3088595,14.78024,10.356258,-0.047216464,0.033629775,0.042659715,-0.071072355,225.9131649238667,46.98428961356582,267.1413291836606,0.0010000000000047748,0.31650156,0.0,0.31650156,0.31650156,1.1721524,1.808044,176.19943,6.558349e-08,0.9993779,0.1340517,1.2,0.8
69,6.0,0.0,0.0,483.0,1.0,483.0,29246.0,0.0,375.717,0.0,0.0,5239.917351961136,,,,,,,,,,,,,,,,,,,,,164.56213451192878,82.89393865935953,296.5300190497882,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6.0,0.0,0.0,999.0,2.0,516.0,29762.0,0.0,426.0999999999999,0.0,0.0,5275.616943597794,,,,,,,,,,,,,,,,,,,,,192.41198893783064,92.93439267930789,327.14255626434397,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6.0,0.0,0.0,1488.0,3.0,489.0,30251.0,0.0,395.10000000000014,0.0,0.0,5308.9697732925415,,,,,,,,,,,,,,,,,,,,,167.3471505940683,90.20879302000071,313.58082418368423,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6.0,0.0,0.0,1995.0,4.0,507.0,30758.0,0.0,415.00400000000013,0.0,0.0,5343.773363828659,,,,,,,,,,,,,,,,,,,,,168.08388289097394,95.36699898272266,330.1155869612373,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6.0,0.0,0.0,2497.0,5.0,502.0,31260.0,0.0,387.00000000000034,0.0,0.0,5378.136662006378,,,,,,,,,,,,,,,,,,,,,157.97167565951753,84.87450258601645,308.0062250439663,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6.0,0.0,0.0,2998.0,6.0,501.0,31761.0,0.0,444.0,0.0,0.0,5412.497770547867,,,,,,,,,,,,,,,,,,,,,185.50329791495133,102.68453430790255,351.4142620066156,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6.0,0.0,0.0,3503.0,7.0,505.0,32266.0,0.0,394.90000000000055,0.0,0.0,5447.307978630066,,,,,,,,,,,,,,,,,,,,,160.7421528306607,87.81685729083142,314.0392520725889,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6.0,0.0,0.0,3960.0,8.0,457.0,32723.0,0.0,362.10000000000036,0.0,0.0,5478.749664783478,,,,,,,,,,,,,,,,,,,,,153.61262815594435,87.4792471325018,292.1912201528864,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,6.0,0.0,0.0,4417.0,9.0,457.0,33180.0,0.0,336.9999999999997,0.0,0.0,5510.14560174942,,,,,,,,,,,,,,,,,,,,,149.3645800498766,79.95912334363427,269.0093963135197,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,7.0,0.0,0.0,0.0,0.0,517.0,33697.0,0.0,422.0,0.0,0.0,6132.049333810806,,,,,,,,,11.429494,1.2491809,14.395798,9.983805,,,,,157.35472,92.862434,500.35617,25.113672,179.8023886312332,97.18354512820362,329.37153661426686,1.0,0.38503516,0.0,0.38503516,0.38503516,5.7603788873944076e-18,1.0,5.90579023420226,-7.77320397878815,231.89948,31.609064,277.7363,-1.6733224,11.471377,1.2154623,14.35135,10.051042,-0.037597008,0.03479515,0.049433492,-0.063942835,233.52549137224432,45.57410301602005,276.1567121964903,0.0010000000000012221,0.32418433,0.0,0.32418433,0.32418433,1.209998,2.8252468,269.0998,4.7402285e-08,1.0014197,0.1327665,1.2,0.8
79,7.0,0.0,0.0,501.0,1.0,501.0,34198.0,0.0,442.0,0.0,0.0,6179.589543104172,,,,,,,,,,,,,,,,,,,,,192.9632241894341,99.99877342215919,345.6710957768702,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,7.0,0.0,0.0,530.0,2.0,29.0,34227.0,0.0,12.107999999999993,0.0,0.0,6181.792938947678,,,,,,,,,,,,,,,,,,,,,3.064931656601041,3.763160780451164,12.03114813008866,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,7.0,0.0,0.0,1036.0,3.0,506.0,34733.0,0.0,425.0,0.0,0.0,6216.559937477112,,,,,,,,,,,,,,,,,,,,,172.84244402659,96.49259326923222,337.8796029254709,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,7.0,0.0,0.0,1545.0,4.0,509.0,35242.0,0.0,426.8000000000002,0.0,0.0,6251.639138221741,,,,,,,,,,,,,,,,,,,,,177.5052458484918,93.80263578811316,336.786616479597,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,7.0,0.0,0.0,2036.0,5.0,491.0,35733.0,0.0,421.0,0.0,0.0,6285.048448801041,,,,,,,,,,,,,,,,,,,,,177.23998313792507,94.88629032303379,334.3094777570356,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,7.0,0.0,0.0,2569.0,6.0,533.0,36266.0,0.0,417.00000000000034,0.0,0.0,6321.796541929245,,,,,,,,,,,,,,,,,,,,,172.1915778470904,97.26447315713925,325.5474364439443,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7.0,0.0,0.0,3087.0,7.0,518.0,36784.0,0.0,410.1060000000002,0.0,0.0,6357.54144859314,,,,,,,,,,,,,,,,,,,,,164.80336623177942,96.90333330455013,325.0629192111493,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,7.0,0.0,0.0,3567.0,8.0,480.0,37264.0,0.0,377.79999999999984,0.0,0.0,6390.455936431885,,,,,,,,,,,,,,,,,,,,,163.36080570053585,87.40733375226216,299.6864997635059,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,7.0,0.0,0.0,4042.0,9.0,475.0,37739.0,0.0,409.0,0.0,0.0,6423.166455745697,,,,,,,,,,,,,,,,,,,,,182.6405390683317,93.38014854010598,322.56831225479704,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,8.0,0.0,0.0,0.0,0.0,496.0,38235.0,0.0,357.20000000000095,0.0,0.0,6974.177962779999,,,,,,,,,12.096763,1.1307883,14.744001,10.555308,,,,,156.69844,92.437874,497.58893,32.044746,149.1448459461145,82.28579548907129,283.5076640748021,1.0,0.35133547,0.0,0.35133547,0.35133547,6.263047472543854e-18,1.0,6.491218156949566,-7.457431647815193,238.76813,35.71657,282.20645,-24.613695,12.137256,1.1017827,14.700808,10.620556,-0.036661666,0.030770019,0.04731812,-0.061734453,239.85880459863176,48.73101929033231,285.9377977706404,-1.3058579108726995,0.3425752,0.0,0.3425752,0.3425752,1.1939578,2.2340493,151.92007,1.0450366e-08,1.0075942,0.12992376,1.2,0.8
89,8.0,0.0,0.0,493.0,1.0,493.0,38728.0,0.0,415.5,0.0,0.0,7021.891876459122,,,,,,,,,,,,,,,,,,,,,174.76226146582454,90.81759704263641,329.6718769743227,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,8.0,0.0,0.0,1006.0,2.0,513.0,39241.0,0.0,411.5,0.0,0.0,7057.019993066788,,,,,,,,,,,,,,,,,,,,,181.0762622262279,90.45002397283064,318.9268042822274,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,8.0,0.0,0.0,1516.0,3.0,510.0,39751.0,0.0,439.0,0.0,0.0,7092.060173511505,,,,,,,,,,,,,,,,,,,,,190.17923651498455,97.79923047530558,342.35094031767545,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,8.0,0.0,0.0,1982.0,4.0,466.0,40217.0,0.0,412.20500000000004,0.0,0.0,7124.098975658417,,,,,,,,,,,,,,,,,,,,,173.31153079921995,95.37392273613051,331.77360024781115,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,8.0,0.0,0.0,2402.0,5.0,420.0,40637.0,0.0,341.005,0.0,0.0,7153.059272289276,,,,,,,,,,,,,,,,,,,,,151.49943686798514,79.85215682701968,277.652889404851,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,8.0,0.0,0.0,2419.0,6.0,17.0,40654.0,0.0,6.905,0.0,0.0,7154.669826030731,,,,,,,,,,,,,,,,,,,,,1.747200091520079,2.2279547634777797,6.8821797782223815,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,8.0,0.0,0.0,2844.0,7.0,425.0,41079.0,0.0,368.105,0.0,0.0,7183.903413295746,,,,,,,,,,,,,,,,,,,,,155.24248391827877,89.34889400589302,302.42937370844,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,8.0,0.0,0.0,3212.0,8.0,368.0,41447.0,0.0,283.20799999999997,0.0,0.0,7209.414999485016,,,,,,,,,,,,,,,,,,,,,120.8516158153233,67.59794111460735,238.97357895892,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,8.0,0.0,0.0,3725.0,9.0,513.0,41960.0,0.0,350.61600000000124,0.0,0.0,7244.4042863845825,,,,,,,,,,,,,,,,,,,,,137.16196924245494,81.79529454113411,280.53244222084174,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,8.0,0.0,0.0,4246.0,10.0,521.0,42481.0,0.0,433.0,0.0,0.0,7280.137498617172,,,,,,,,,,,,,,,,,,,,,185.8534184065081,95.42715207420338,336.50687588609503,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,8.0,0.0,0.0,4784.0,11.0,538.0,43019.0,0.0,421.0000000000001,0.0,0.0,7317.670240163803,,,,,,,,,,,,,,,,,,,,,175.45045806924784,95.24158088771092,326.93458814689143,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,8.0,0.0,0.0,4815.0,12.0,31.0,43050.0,0.0,13.306999999999993,0.0,0.0,7320.073703527451,,,,,,,,,,,,,,,,,,,,,3.4365702345480593,4.124004711243044,13.213680002731744,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9.0,0.0,0.0,455.0,1.0,455.0,43505.0,0.0,375.60799999999995,0.0,0.0,7837.782688379288,,,,,,,,,,,,,,,,,,,,,158.4690086739945,88.89839408414058,303.80840946279517,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,9.0,0.0,0.0,975.0,2.0,520.0,44025.0,0.0,403.6,0.0,0.0,7873.561964273453,,,,,,,,,,,,,,,,,,,,,183.14881889940114,91.98933526898296,308.6712854577692,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,9.0,0.0,0.0,1419.0,3.0,444.0,44469.0,0.0,381.80899999999997,0.0,0.0,7904.095734119415,,,,,,,,,,,,,,,,,,,,,159.88309898580016,92.67973148710617,311.1320360863909,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,9.0,0.0,0.0,1884.0,4.0,465.0,44934.0,0.0,360.30500000000006,0.0,0.0,7936.280736923218,,,,,,,,,,,,,,,,,,,,,156.87928426436915,85.47845455502872,287.643776593662,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,9.0,0.0,0.0,2391.0,5.0,507.0,45441.0,0.0,382.1000000000008,0.0,0.0,7970.994866847992,,,,,,,,,,,,,,,,,,,,,157.5345849919851,94.58776591249762,302.53249790697066,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,9.0,0.0,0.0,2707.0,6.0,316.0,45757.0,0.0,220.01199999999986,0.0,0.0,7993.1230256557465,,,,,,,,,,,,,,,,,,,,,81.48301064425034,61.46839467455618,194.45782646287992,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,9.0,0.0,0.0,3229.0,7.0,522.0,46279.0,0.0,395.50000000000017,0.0,0.0,8028.818850040436,,,,,,,,,,,,,,,,,,,,,170.26205110214602,87.36935525207804,306.9301394641441,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,9.0,0.0,0.0,3710.0,8.0,481.0,46760.0,0.0,408.30000000000007,0.0,0.0,8061.799186468124,,,,,,,,,,,,,,,,,,,,,176.97380096241005,90.10901603765602,323.4991008379184,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,9.0,0.0,0.0,4189.0,9.0,479.0,47239.0,0.0,369.2,0.0,0.0,8094.609747171402,,,,,,,,,,,,,,,,,,,,,163.86418672318433,85.08746609159564,291.0000546142092,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,9.0,0.0,0.0,4707.0,10.0,518.0,47757.0,0.0,417.59999999999997,0.0,0.0,8130.142842054367,,,,,,,,,,,,,,,,,,,,,184.65341394164435,90.32624026373833,322.27180338161,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,10.0,0.0,0.0,503.0,1.0,503.0,48260.0,0.0,430.0,0.0,0.0,8761.358936309814,,,,,,,,,,,,,,,,,,,,,187.50528123280512,95.98171683192564,336.0208644043031,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,10.0,0.0,0.0,527.0,2.0,24.0,48284.0,0.0,10.006999999999994,0.0,0.0,8763.297000169754,,,,,,,,,,,,,,,,,,,,,2.517589631189543,3.159071281688592,9.956534383234688,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,10.0,0.0,0.0,982.0,3.0,455.0,48739.0,0.0,333.2080000000002,0.0,0.0,8794.41497039795,,,,,,,,,,,,,,,,,,,,,132.66316601167068,81.51359330469913,273.1193788435336,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,10.0,0.0,0.0,1395.0,4.0,413.0,49152.0,0.0,352.00700000000006,0.0,0.0,8823.167428731918,,,,,,,,,,,,,,,,,,,,,148.00251947952853,85.2839427442411,291.17313258754234,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,10.0,0.0,0.0,1889.0,5.0,494.0,49646.0,0.0,340.31200000000007,0.0,0.0,8856.978004932404,,,,,,,,,,,,,,,,,,,,,143.02381044511472,82.76070352852452,269.9281658059193,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,10.0,0.0,0.0,1915.0,6.0,26.0,49672.0,0.0,8.905999999999993,0.0,0.0,8859.026283502579,,,,,,,,,,,,,,,,,,,,,2.108046852151713,2.6298158757708743,8.860050832676732,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,10.0,0.0,0.0,2423.0,7.0,508.0,50180.0,0.0,421.0,0.0,0.0,8893.812097787857,,,,,,,,,,,,,,,,,,,,,174.33132952301045,95.3606111435246,332.7724570593701,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,10.0,0.0,0.0,2843.0,8.0,420.0,50600.0,0.0,281.0279999999995,0.0,0.0,8922.768664121628,,,,,,,,,,,,,,,,,,,,,105.32696078971784,72.4585409113468,237.02770417249104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,10.0,0.0,0.0,3375.0,9.0,532.0,51132.0,0.0,419.22100000000023,0.0,0.0,8959.321491479874,,,,,,,,,,,,,,,,,,,,,175.21560916462766,92.64962137865008,326.33262855297113,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,10.0,0.0,0.0,3685.0,10.0,310.0,51442.0,0.0,233.60499999999993,0.0,0.0,8980.82445693016,,,,,,,,,,,,,,,,,,,,,106.20620302140738,59.7589538122552,200.8819590223861,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,10.0,0.0,0.0,4212.0,11.0,527.0,51969.0,0.0,417.5,0.0,0.0,9017.178467273712,,,,,,,,,,,,,,,,,,,,,174.64927174068626,93.160234273901,325.7856194120704,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,10.0,0.0,0.0,4241.0,12.0,29.0,51998.0,0.0,11.806999999999993,0.0,0.0,9019.427594900131,,,,,,,,,,,,,,,,,,,,,2.9337972180912306,3.636569010185863,11.733653534209566,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,10.0,0.0,0.0,4760.0,13.0,519.0,52517.0,0.0,431.5,0.0,0.0,9055.105062961578,,,,,,,,,,,,,,,,,,,,,186.56221053666548,91.29371715941181,335.00922195342395,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,11.0,0.0,0.0,0.0,0.0,67.0,52584.0,0.0,44.00699999999999,0.0,0.0,9447.640883207321,,,,,,,,,14.640863,1.5947489,18.43706,12.987342,,,,,180.9484,99.585815,579.81805,32.331978,18.214862846866765,13.394993563652362,42.82943362288281,0.001,0.36301315,0.0,0.36301315,0.36301315,2.3552276304457434e-17,1.0,6.091747730960443,-6.932788043705027,254.60757,50.84904,313.76672,-33.466335,14.689931,1.5637233,18.40242,13.058265,-0.04483668,0.032208644,0.039815776,-0.06797986,251.19084317856093,65.51346552238407,304.40299079084497,-6.298010925034612,0.35039544,0.0,0.35039544,0.35039544,1.409628,17.545933,1917.8708,2.8770414e-08,1.003341,0.13301767,1.2,0.8
125,11.0,0.0,0.0,502.0,1.0,502.0,53086.0,0.0,401.5,0.0,0.0,9509.186903953552,,,,,,,,,,,,,,,,,,,,,174.77709073491806,89.88246628517169,314.0759764274987,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,11.0,0.0,0.0,565.0,2.0,63.0,53149.0,0.0,19.12100000000005,0.0,0.0,9513.764072656631,,,,,,,,,,,,,,,,,,,,,3.9974511177646237,5.352073674090068,18.888048628209035,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,11.0,0.0,0.0,1063.0,3.0,498.0,53647.0,0.0,375.5,0.0,0.0,9547.887149333954,,,,,,,,,,,,,,,,,,,,,167.22290322629436,84.85764008911721,292.5155097030087,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,11.0,0.0,0.0,1126.0,4.0,63.0,53710.0,0.0,47.903999999999996,0.0,0.0,9552.358670473099,,,,,,,,,,,,,,,,,,,,,19.182707764316,14.74015568375361,46.74223164249057,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,11.0,0.0,0.0,1630.0,5.0,504.0,54214.0,0.0,436.79999999999995,0.0,0.0,9586.861022233963,,,,,,,,,,,,,,,,,,,,,181.98297403074093,98.36352330783764,345.426007095602,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,11.0,0.0,0.0,2140.0,6.0,510.0,54724.0,0.0,415.0,0.0,0.0,9622.12533545494,,,,,,,,,,,,,,,,,,,,,180.06529170646346,90.77012604972998,323.49019142112456,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,11.0,0.0,0.0,2662.0,7.0,522.0,55246.0,0.0,443.60000000000014,0.0,0.0,9658.080532550812,,,,,,,,,,,,,,,,,,,,,181.22595981481157,98.23595845193877,349.3493983750433,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,11.0,0.0,0.0,3171.0,8.0,509.0,55755.0,0.0,443.5,0.0,0.0,9692.98677778244,,,,,,,,,,,,,,,,,,,,,193.13525753319584,99.41423008235388,345.5396936092124,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,11.0,0.0,0.0,3668.0,9.0,497.0,56252.0,0.0,379.2000000000005,0.0,0.0,9727.369963169098,,,,,,,,,,,,,,,,,,,,,162.9027230342173,83.30628650150676,298.53588253452864,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,11.0,0.0,0.0,3965.0,10.0,297.0,56549.0,0.0,237.7069999999999,0.0,0.0,9747.557188272476,,,,,,,,,,,,,,,,,,,,,105.3897650459982,61.532501120219976,206.61285263397258,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,11.0,0.0,0.0,4480.0,11.0,515.0,57064.0,0.0,393.3000000000004,0.0,0.0,9783.003141403198,,,,,,,,,,,,,,,,,,,,,163.77590483096085,89.04934415989496,309.26467368574123,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,12.0,0.0,0.0,0.0,0.0,27.0,57091.0,0.0,13.203999999999995,0.0,0.0,10215.190793514252,,,,,,,,,14.564482,1.3947192,17.52839,12.941088,,,,,172.03043,99.84257,548.25275,28.585651,3.8543877985310355,4.176293680873918,13.11304457401368,0.001,0.33762014,0.0,0.33762014,0.33762014,4.7295944248509e-18,1.0000000000000002,7.221355323851786,-7.0554742762233,260.47882,46.380463,320.0556,-15.178719,14.607053,1.3699855,17.506983,13.003522,-0.03886425,0.02583358,0.025269972,-0.059315022,257.77402044263164,59.90502083758311,311.7113807336524,-2.1700008759436464,0.33542663,0.0,0.33542663,0.33542663,1.465473,14.294107,1575.2515,1.5153917e-08,1.002487,0.12640704,1.2,0.8
137,12.0,0.0,0.0,517.0,1.0,517.0,57608.0,0.0,424.5,0.0,0.0,10270.208913564682,,,,,,,,,,,,,,,,,,,,,181.77670963052992,94.76804103874942,330.85229341443085,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,12.0,0.0,0.0,1026.0,2.0,509.0,58117.0,0.0,435.0,0.0,0.0,10305.025108575821,,,,,,,,,,,,,,,,,,,,,190.66124933922723,96.40961455951012,338.2917158021352,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,12.0,0.0,0.0,1533.0,3.0,507.0,58624.0,0.0,450.0,0.0,0.0,10339.95238828659,,,,,,,,,,,,,,,,,,,,,192.39992117005914,103.03218152657392,352.8060460127926,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,12.0,0.0,0.0,2037.0,4.0,504.0,59128.0,0.0,424.0,0.0,0.0,10374.270388364792,,,,,,,,,,,,,,,,,,,,,179.2278333144675,99.9691365448599,334.003175184693,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,12.0,0.0,0.0,2573.0,5.0,536.0,59664.0,0.0,428.0000000000002,0.0,0.0,10411.445783138275,,,,,,,,,,,,,,,,,,,,,176.64241567334423,97.08857828095599,333.65331851760476,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,12.0,0.0,0.0,3102.0,6.0,529.0,60193.0,0.0,439.0,0.0,0.0,10447.735115289688,,,,,,,,,,,,,,,,,,,,,182.46047943318527,100.67725891029087,342.82122760745233,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,12.0,0.0,0.0,3620.0,7.0,518.0,60711.0,0.0,409.0,0.0,0.0,10483.23391008377,,,,,,,,,,,,,,,,,,,,,172.09780014117848,91.61166239194478,320.17351303990927,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,12.0,0.0,0.0,4141.0,8.0,521.0,61232.0,0.0,400.7999999999997,0.0,0.0,10519.010381937027,,,,,,,,,,,,,,,,,,,,,168.56562720907996,93.0849153733742,313.29059882289204,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,12.0,0.0,0.0,4650.0,9.0,509.0,61741.0,0.0,353.39999999999975,0.0,0.0,10553.971756696701,,,,,,,,,,,,,,,,,,,,,149.3161379887702,83.17434401292392,277.6757615252411,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,13.0,0.0,0.0,513.0,1.0,513.0,62254.0,0.0,457.0,0.0,0.0,11154.492868900299,,,,,,,,,,,,,,,,,,,,,196.16609152863427,101.44780682690055,356.7235185643747,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,13.0,0.0,0.0,537.0,2.0,24.0,62278.0,0.0,11.603999999999996,0.0,0.0,11156.63616991043,,,,,,,,,,,,,,,,,,,,,3.3638850350290697,3.69931337809504,11.534801560720023,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,13.0,0.0,0.0,559.0,3.0,22.0,62300.0,0.0,9.105999999999995,0.0,0.0,11158.685989141464,,,,,,,,,,,,,,,,,,,,,2.252469073520984,2.8949215784394617,9.065511191574114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,13.0,0.0,0.0,578.0,4.0,19.0,62319.0,0.0,8.903999999999996,0.0,0.0,11160.291515350342,,,,,,,,,,,,,,,,,,,,,2.5688589342614274,2.874716231966143,8.86405573598502,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,13.0,0.0,0.0,1107.0,5.0,529.0,62848.0,0.0,424.9000000000003,0.0,0.0,11196.4755692482,,,,,,,,,,,,,,,,,,,,,173.2170474898669,97.49958000980244,333.6017836615219,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,13.0,0.0,0.0,1210.0,6.0,103.0,62951.0,0.0,74.707,0.0,0.0,11203.828690767288,,,,,,,,,,,,,,,,,,,,,32.2396265602388,23.0272950954104,71.45777624053594,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
